# https://supermag.jhuapl.edu/inventory
IAGA	GLON	GLAT	MLON	MLAT	Station name	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
LAN	357.23	54.01	77.12	51.10	Lancaster	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	53%	0%	0%	0%	0%	0%	0%	0%	0%
S01	13.36	64.37	94.84	61.87	Nordli	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	73%	45%	69%	96%	97%	83%	99%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
OUL	25.85	65.1	105.42	62.11	Oulu	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	68%	68%	86%	39%	81%	81%	99%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
YOR	358.95	53.95	78.49	50.90	York	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	16%	98%	99%	97%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
PUT	290.5	-18.33	2.23	-5.15	Putre	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	49%	87%	55%	30%	78%	74%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
ANT	289.76	-23.39	1.35	-9.83	Antofagasta	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	27%	98%	71%	0%	0%	41%	23%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
SER	288.87	-30	0.65	-16.22	La Serena	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	45%	26%	3%	0%	0%	95%	100%	0%	0%	0%	0%	56%	0%	0%	0%	0%	0%	0%
CER	289.4	-33.45	1.15	-19.71	Los Cerrillos	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	61%	97%	100%	100%	100%	83%	31%	56%	53%	57%	0%	0%	0%	0%	0%	0%	0%	0%
VLD	286.86	-39.48	-0.16	-25.61	Valdivia	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	40%	98%	100%	50%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
OSO	286.91	-40.34	-0.03	-26.48	Osorno	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	69%	100%	99%	98%	23%	0%	10%	94%	96%	97%	83%	19%	15%	0%	0%	0%	0%	0%	0%
PNT	289.1	-53.2	3.24	-39.23	Puerto Natales	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	51%	95%	87%	40%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
ESC	301.08	-62.18	12.07	-48.41	Escudero	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	84%	88%	42%	86%	13%	92%	74%	67%	0%	16%	0%	0%	0%	0%	0%	0%	0%
OHI	302.1	-63.32	12.87	-49.52	OHiggins	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	31%	51%	54%	53%	70%	0%	12%	77%	0%	0%	11%	0%	0%	0%	0%	0%	0%
PAC	289.91	-40.34	1.97	-26.64	Punta Arenas	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	60%	94%	87%	90%	95%	38%	0%	0%	0%	85%	80%	64%	0%	0%	0%	0%	0%	0%	0%
ENP	289.1	-52.13	3.05	-38.19	San Gregorio	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	53%	30%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
FSJ	238.15	56.25	-63.01	61.84	Fort St. John	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	88%	76%	94%	92%	93%	96%	31%	0%	0%	0%	0%	0%	0%	0%
EDM	246.7	53.3	-51.63	60.53	Edmonton	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	5%	81%	30%	44%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
FVE	243.98	58.37	-56.86	65.11	Fort Vermilion	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
LET	247.13	49.64	-50.07	56.88	Lethbridge	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	26%	57%	90%	97%	98%	92%	95%	98%	70%	84%	65%	97%	96%	52%	0%	60%
RED	246.16	52.14	-51.96	59.25	Red Deer	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	25%	99%	74%	81%	41%	95%	49%	80%	98%	88%	99%	66%	0%	0%	0%	0%
ROT	245.87	51.07	-52.01	58.10	Rothney	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	14%	49%	61%	19%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
SAS	253.6	52.8	-42.49	61.22	Saskatoon	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
VLO	282.24	48.19	-0.39	58.00	Val-dOr	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	15%	75%	58%	0%	81%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
MCM	166.67	-77.85	-31.25	-79.96	McMurdo Station	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	88%	95%	97%	93%	33%	95%	96%	96%	98%	97%	94%	99%	96%	92%	97%	93%	98%	99%	98%	98%	100%	100%	92%	98%	6%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
SPA	0	-90	19.56	-74.19	South Pole Station	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	99%	96%	98%	97%	98%	96%	99%	99%	97%	99%	90%	90%	84%	95%	96%	99%	99%	98%	93%	74%	99%	81%	83%	100%	7%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
ELT	34.95	29.67	107.23	22.59	Eilat	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	87%	56%	51%	98%	0%	100%	100%	100%	0%	0%	0%	0%	0%	0%	0%	0%	0%
GZH	113.34	23.09	-173.79	16.29	Guangzhou	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	98%	93%	98%	98%	74%	89%	83%	74%	44%	0%	0%	0%	0%	0%	0%
MLT	30.89	29.52	103.13	21.81	Misallat	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	99%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
PAL	295.95	-64.77	9.72	-50.55	Palmer	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	58%	81%	82%	61%	95%	94%	97%	48%	97%	47%	0%	0%	0%	0%	0%	0%
NOK	88.1	69.4	162.74	65.41	NOK	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	73%	86%	0%	0%	99%	90%	18%	1%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
HLM	210.13	61.24	-93.38	61.32	HLMS	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	85%	77%	97%	92%	3%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
HOM	209.53	59.7	-93.12	59.60	Homer	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	11%	88%	56%	90%	66%	47%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
TRP	150.24	62.67	-140.57	57.23	Trapper	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	9%	29%	75%	55%	28%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
BGY	35.09	31.72	107.42	24.99	Bar Gyora	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	98%	100%	97%	92%	97%	96%	98%	93%	0%	0%	0%	0%	0%	0%	0%	0%	0%
ESA	141.36	39.24	-145.89	32.24	Esashi	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	92%	100%	100%	100%	100%	99%	0%	0%	0%	0%	0%	0%	0%	0%	0%
GCK	20.77	44.63	94.75	39.04	Grocka	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	98%	91%	100%	93%	94%	97%	94%	100%	61%	84%	64%	69%	96%	93%	98%	60%
KNZ	48.85	55.83	122.98	52.27	Zaymishche	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	100%	100%	0%	0%	0%	0%	0%	0%	0%	0%
MIZ	141.2	39.11	-146.04	32.11	Mizusawa	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	99%	99%	87%	99%	0%	0%	0%	0%	0%	0%	0%	0%
SFS	354.06	36.67	70.52	27.11	San Fernando	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	99%	97%	98%	99%	99%	99%	99%	95%	89%	99%	99%	98%	99%	98%	60%
SHU	199.54	55.35	-99.73	53.26	Shumagin	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	99%	99%	99%	96%	100%	100%	96%	100%	100%	100%	92%	100%	99%	99%	99%	60%
BFO	8.33	48.33	84.57	43.41	Black Forest	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	100%	99%	99%	96%	95%	93%	97%	7%	0%	0%	49%	80%	95%	96%	60%
MSK	34.52	52.69	108.92	48.82	MSK	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B11	336.58	-77.51	30.69	-63.96	m78-337	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	4%	94%	96%	100%	100%	11%	93%	40%	94%	100%	100%	100%	94%	0%	0%	0%	0%	0%	0%	0%
B12	335.88	-79.08	29.67	-65.15	m79-336	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	5%	93%	96%	100%	87%	10%	95%	100%	100%	100%	100%	100%	94%	0%	0%	0%	0%	0%	0%	0%
B14	337.74	-80.89	29.35	-66.70	m81-338	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	96%	93%	0%	99%	8%	95%	4%	93%	100%	100%	100%	95%	0%	0%	0%	0%	0%	0%	0%
B15	2.97	-81.49	37.07	-68.93	m82-003	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	4%	68%	94%	100%	100%	4%	94%	83%	7%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B17	347.76	-82.9	30.79	-68.84	m83-348	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	5%	100%	100%	100%	4%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B18	336.14	-84.35	26.33	-69.45	m84-336	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	96%	98%	100%	100%	100%	98%	0%	0%	100%	100%	100%	97%	0%	0%	0%	0%	0%	0%	0%
B19	2.06	-85.36	30.41	-71.39	m85-002	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	4%	23%	96%	98%	98%	4%	80%	38%	93%	28%	0%	8%	0%	0%	0%	0%	0%	0%	0%	0%
B20	95.98	-85.36	30.38	-77.78	m85-096	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	94%	100%	92%	97%	3%	100%	37%	2%	2%	100%	96%	0%	0%	0%	0%	0%	0%	0%	0%
B21	28.41	-87	29.34	-73.53	m87-028	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	95%	100%	100%	21%	4%	100%	23%	0%	92%	100%	100%	96%	0%	0%	0%	0%	0%	0%	0%
B22	68.17	-86.51	31.00	-75.62	m87-069	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	94%	100%	100%	98%	3%	58%	100%	32%	100%	100%	77%	96%	0%	0%	0%	0%	0%	0%	0%
B23	316.13	-88.03	20.41	-72.34	m88-316	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	43%	95%	99%	0%	5%	64%	100%	100%	100%	100%	96%	0%	0%	0%	0%	0%	0%	0%	0%
B03	291.88	-67.57	8.27	-53.14	m67-292	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	79%	79%	1%	0%	0%	85%	96%	0%	82%	92%	99%	98%	0%	0%	0%	0%	0%	0%	0%
M01	263.55	46.87	-27.71	56.59	Glyndon	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	22%	69%	0%	99%	93%	91%	65%	42%	84%	52%	16%	47%	16%	49%	57%	0%	0%
M02	266.75	45.56	-23.05	55.55	Cambridge	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
M03	264.4	43.6	-26.26	53.38	Worthington	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	30%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
M04	263.84	41.36	-26.89	51.07	Bennington	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	6%	0%	86%	82%	90%	100%	100%	87%	44%	0%	0%	0%	0%	0%	0%	0%
M05	263.7	38.5	-26.91	48.18	Americus	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	63%	15%	60%	46%	54%	14%	0%	0%	0%	0%	0%	0%	0%
M06	262.6	35	-28.16	44.52	Purcell	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	77%	94%	63%	43%	84%	54%	0%	36%	16%	19%	0%	0%	0%	0%
M07	263.25	32.98	-27.21	42.57	Richardson	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	78%	33%	47%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
M08	261.39	29.44	-29.35	38.74	San Antonio	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	7%	0%	96%	79%	38%	99%	91%	97%	81%	100%	100%	0%	0%	0%	0%	0%
M09	262.2	26.4	-28.17	35.80	Lyford	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	83%	19%	92%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
M10	260.4	24.8	-30.22	33.87	Linares	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	33%	66%	79%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
M11	256.9	20.7	-33.86	29.01	Juriquilla	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B01	296.52	-64.82	10.05	-50.62	m65-297	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B02	294	-66.03	8.97	-51.69	m66-294	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	73%	14%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B04	41.08	-68.58	74.03	-66.63	m68-041	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	91%	7%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B05	41.32	-69.29	73.08	-67.09	m69-041	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	80%	17%	4%	14%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B06	39.4	-69.67	71.31	-66.95	m70-039	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	74%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B07	44.28	-70.7	72.51	-68.45	m70-044	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	20%	100%	100%	67%	9%	20%	100%	97%	79%	0%	0%	0%	0%	0%	0%	0%	0%
B08	159.03	-72.77	-65.20	-80.61	m73-159	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	16%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B09	42.99	-74.01	65.58	-69.97	m74-043	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	17%	100%	65%	100%	13%	0%	13%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
B10	39.71	-77.32	57.15	-71.02	m77-040	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	36%	52%	89%	0%	6%	76%	81%	96%	100%	65%	0%	0%	0%	0%	0%	0%	0%	0%
B24	77.77	-71.67	90.77	-76.46	m72-078	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	83%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%
